Compound_ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,n_isomers
CHEMBL274350,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,IC50,=,1.6,nM,8.8,CHEMBL903783,CHEMBL278,1
CHEMBL390057,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,IC50,=,0.87,nM,9.06,CHEMBL903783,CHEMBL278,1
CHEMBL228731,O=C(Nc1ccccc1Br)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,IC50,=,1.4,nM,8.85,CHEMBL903783,CHEMBL278,1
CHEMBL228730,O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,IC50,=,1.3,nM,8.89,CHEMBL903783,CHEMBL278,1
CHEMBL426910,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,IC50,=,0.78,nM,9.11,CHEMBL903783,CHEMBL278,1
CHEMBL387660,O=C(Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,IC50,=,1.7,nM,8.77,CHEMBL903783,CHEMBL278,1
CHEMBL387659,O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,1.3,nM,8.89,CHEMBL903783,CHEMBL278,1
CHEMBL425647,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,0.51,nM,9.29,CHEMBL903783,CHEMBL278,1
CHEMBL228678,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C(F)(F)F,IC50,=,15.0,nM,7.82,CHEMBL903783,CHEMBL278,1
CHEMBL389641,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C(C)C,IC50,=,216.0,nM,6.67,CHEMBL903783,CHEMBL278,1
CHEMBL228629,CCc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C,IC50,=,15.0,nM,7.82,CHEMBL903783,CHEMBL278,1
CHEMBL228628,Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,IC50,=,9.8,nM,8.01,CHEMBL903783,CHEMBL278,1
CHEMBL389640,Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,IC50,=,13.0,nM,7.89,CHEMBL903783,CHEMBL278,1
CHEMBL426908,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C,IC50,=,2.3,nM,8.64,CHEMBL903783,CHEMBL278,1
CHEMBL427891,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccccc4)CC3)cc2)C(=O)O)cc1,IC50,=,123.0,nM,6.91,CHEMBL945759,CHEMBL278,1
CHEMBL253110,O=C(O)c1cc(Cl)c(C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccccc4)CC3)cc2)C(=O)O)c(Cl)c1,IC50,=,42.0,nM,7.38,CHEMBL945759,CHEMBL278,1
CHEMBL253108,O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(Cl)cncc1Cl,IC50,=,510.0,nM,6.29,CHEMBL945759,CHEMBL278,1
CHEMBL254944,O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(F)cccc1C(F)(F)F,IC50,=,4318.0,nM,5.37,CHEMBL945759,CHEMBL278,1
CHEMBL402312,O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(F)cccc1F,IC50,=,6807.0,nM,5.17,CHEMBL945759,CHEMBL278,1
CHEMBL402311,O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(Cl)cccc1Cl,IC50,=,1122.0,nM,5.95,CHEMBL945759,CHEMBL278,1
CHEMBL254336,O=C(O)[C@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)NC(=O)[C@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,IC50,=,28.0,nM,7.55,CHEMBL945759,CHEMBL278,1
CHEMBL254538,Cc1ccc(S(=O)(=O)N2CSC[C@@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccccc4)CC3)cc2)C(=O)O)cc1,IC50,=,196.0,nM,6.71,CHEMBL945759,CHEMBL278,1
CHEMBL404035,CCNC(=O)N1CCN(c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)C(=O)O)cc2)CC1,IC50,=,200.0,nM,6.7,CHEMBL945759,CHEMBL278,1
CHEMBL254334,O=C(O)[C@H](Cc1ccc(N2CCN(C(=O)C3CC3)CC2)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1,IC50,=,80.0,nM,7.1,CHEMBL945759,CHEMBL278,1
CHEMBL403822,O=C(O)[C@H](Cc1ccc(N2CCN(c3cnccn3)CC2)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1,IC50,=,124.0,nM,6.91,CHEMBL945759,CHEMBL278,1
CHEMBL436846,CC(=O)c1ccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccccc4)C(=O)O)cc3)CC2)s1,IC50,=,67.0,nM,7.17,CHEMBL945759,CHEMBL278,1
CHEMBL402516,N#Cc1cccc(C#N)c1N1CCN(c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)C(=O)O)cc2)CC1,IC50,=,19.0,nM,7.72,CHEMBL945759,CHEMBL278,1
CHEMBL413459,N#Cc1ccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccccc4)C(=O)O)cc3)CC2)cc1,IC50,=,101.0,nM,7.0,CHEMBL945759,CHEMBL278,1
CHEMBL404637,N#Cc1ccccc1N1CCN(c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)C(=O)O)cc2)CC1,IC50,=,67.0,nM,7.17,CHEMBL945759,CHEMBL278,1
CHEMBL266229,O=C(O)[C@H](Cc1ccc(N2CCN(c3ccccc3[N+](=O)[O-])CC2)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1,IC50,=,69.0,nM,7.16,CHEMBL945759,CHEMBL278,1
CHEMBL254140,O=C(O)[C@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1,IC50,=,76.0,nM,7.12,CHEMBL945759,CHEMBL278,1
CHEMBL269768,CCOC(=O)CCN1CCN(c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccc(C)cc3)C(=O)O)cc2)CC1,IC50,=,130.0,nM,6.89,CHEMBL945759,CHEMBL278,1
CHEMBL404636,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(Cc4ccccc4)CC3)cc2)C(=O)O)cc1,IC50,=,222.0,nM,6.65,CHEMBL945759,CHEMBL278,1
CHEMBL402515,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(C)CC3)cc2)C(=O)O)cc1,IC50,=,235.0,nM,6.63,CHEMBL945759,CHEMBL278,1
CHEMBL254139,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccccn4)CC3)cc2)C(=O)O)cc1,IC50,=,179.0,nM,6.75,CHEMBL945759,CHEMBL278,1
CHEMBL253941,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4cnccn4)CC3)cc2)C(=O)O)cc1,IC50,=,75.0,nM,7.12,CHEMBL945759,CHEMBL278,1
CHEMBL253940,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ncccn4)CC3)cc2)C(=O)O)cc1,IC50,=,239.0,nM,6.62,CHEMBL945759,CHEMBL278,1
CHEMBL404376,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccccc4C#N)CC3)cc2)C(=O)O)cc1,IC50,=,99.0,nM,7.0,CHEMBL945759,CHEMBL278,1
CHEMBL404635,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)cc2)C(=O)O)cc1,IC50,=,143.0,nM,6.84,CHEMBL945759,CHEMBL278,1
CHEMBL253729,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4ccc(-c5ccccc5)cc4)CC3)cc2)C(=O)O)cc1,IC50,=,450.0,nM,6.35,CHEMBL945759,CHEMBL278,1
CHEMBL404012,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(c4cccc(C)c4C)CC3)cc2)C(=O)O)cc1,IC50,=,327.0,nM,6.49,CHEMBL945759,CHEMBL278,1
CHEMBL253728,Cc1ccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccc(C)cc4)C(=O)O)cc3)CC2)cc1,IC50,=,353.0,nM,6.45,CHEMBL945759,CHEMBL278,1
CHEMBL265898,COc1ccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccc(C)cc4)C(=O)O)cc3)CC2)cc1,IC50,=,152.0,nM,6.82,CHEMBL945759,CHEMBL278,1
CHEMBL253674,COc1cccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccc(C)cc4)C(=O)O)cc3)CC2)c1,IC50,=,170.0,nM,6.77,CHEMBL945759,CHEMBL278,1
CHEMBL403428,COc1ccccc1N1CCN(c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccc(C)cc3)C(=O)O)cc2)CC1,IC50,=,135.0,nM,6.87,CHEMBL945759,CHEMBL278,1
CHEMBL347903,O=C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,IC50,=,1.4,nM,8.85,CHEMBL949077,CHEMBL278,1
CHEMBL272106,O=C(O)c1c(Cc2ccc(-c3ccccc3)cc2)nc(CN(C2CCCCC2)S(=O)(=O)c2cc(Cl)cc(Cl)c2)[nH]1,IC50,=,237.0,nM,6.62,CHEMBL949077,CHEMBL278,1
CHEMBL402570,O=C(O)c1c(Cc2ccc3ccccc3c2)nc(CN(C2CCCCC2)S(=O)(=O)c2cc(Cl)cc(Cl)c2)[nH]1,IC50,=,285.0,nM,6.54,CHEMBL949077,CHEMBL278,1
CHEMBL272321,CC(C)C(c1nc(Cc2ccc3ccccc3c2)c(C(=O)O)[nH]1)N(C)S(=O)(=O)c1cc(Cl)cc(Cl)c1,IC50,=,2535.0,nM,5.6,CHEMBL949077,CHEMBL278,2
CHEMBL273016,O=C(O)C(Cc1ccccc1)N1C[C@@H]2CCN(S(=O)(=O)c3cc(Cl)cc(Cl)c3)[C@@H]2C1=O,IC50,=,2100.0,nM,5.68,CHEMBL949077,CHEMBL278,2
CHEMBL29359,COc1ccccc1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1,IC50,=,0.64,nM,9.19,CHEMBL949077,CHEMBL278,1
CHEMBL457223,Cc1ccc(F)cc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,1.6,nM,8.8,CHEMBL987226,CHEMBL278,1
CHEMBL515348,Cc1cc(F)ccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,2.8,nM,8.55,CHEMBL987226,CHEMBL278,1
CHEMBL458484,Cc1c(F)cccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,12.0,nM,7.92,CHEMBL987226,CHEMBL278,1
CHEMBL456348,Cc1cc(NC(=O)Nc2ccccc2Br)c(Cl)cc1CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(C(=O)O)cc1,IC50,=,4.8,nM,8.32,CHEMBL987226,CHEMBL278,1
CHEMBL456347,O=C(Nc1cc(Cl)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,IC50,=,7.5,nM,8.12,CHEMBL987226,CHEMBL278,1
CHEMBL515819,O=C(Nc1cc(F)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,IC50,=,4.3,nM,8.37,CHEMBL987226,CHEMBL278,1
CHEMBL456608,Cc1cc(NC(=O)Nc2ccccc2Cl)c(Cl)cc1CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(C(=O)O)cc1,IC50,=,3.5,nM,8.46,CHEMBL987226,CHEMBL278,1
CHEMBL456399,O=C(Nc1ccccc1Cl)Nc1cc(Cl)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,3.4,nM,8.47,CHEMBL987226,CHEMBL278,1
CHEMBL456180,O=C(Nc1ccccc1Cl)Nc1cc(F)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,2.9,nM,8.54,CHEMBL987226,CHEMBL278,1
CHEMBL515662,Cc1cc(NC(=O)Nc2ccccc2C)c(Cl)cc1CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(C(=O)O)cc1,IC50,=,1.9,nM,8.72,CHEMBL987226,CHEMBL278,1
CHEMBL456814,Cc1ccccc1NC(=O)Nc1cc(Cl)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,2.2,nM,8.66,CHEMBL987226,CHEMBL278,1
CHEMBL456815,Cc1ccccc1NC(=O)Nc1cc(F)c(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,IC50,=,1.8,nM,8.74,CHEMBL987226,CHEMBL278,1
CHEMBL519290,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COCCCC(=O)O)cc2o1,IC50,=,831.0,nM,6.08,CHEMBL1023759,CHEMBL278,1
CHEMBL481501,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3CO[C@H]3CC[C@H](C(=O)O)CC3)cc2o1,IC50,=,2.8,nM,8.55,CHEMBL1023759,CHEMBL278,1
CHEMBL512903,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3CO[C@H]3CC[C@@H](C(=O)O)CC3)cc2o1,IC50,=,443.0,nM,6.35,CHEMBL1023759,CHEMBL278,1
CHEMBL472146,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COC3CCC(C(=O)O)CC3)cc2o1,IC50,=,15.0,nM,7.82,CHEMBL1023759,CHEMBL278,1
CHEMBL481404,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COc3ccc(C(=O)O)cc3)cc2o1,IC50,=,19.0,nM,7.72,CHEMBL1023759,CHEMBL278,1
CHEMBL482190,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3C(=O)N3CCC(CC(=O)O)CC3)cc2o1,IC50,=,19.0,nM,7.72,CHEMBL1023759,CHEMBL278,1
CHEMBL519461,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3C(=O)N3CCN(CC(=O)O)CC3)cc2o1,IC50,=,50.0,nM,7.3,CHEMBL1023759,CHEMBL278,1
CHEMBL481627,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COCCCCCC(=O)O)cc2o1,IC50,=,164.0,nM,6.79,CHEMBL1023759,CHEMBL278,1
CHEMBL481626,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COCCCCC(=O)O)cc2o1,IC50,=,198.0,nM,6.7,CHEMBL1023759,CHEMBL278,1
CHEMBL506449,C[C@@]1(C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,IC50,=,0.11,nM,9.96,CHEMBL999754,CHEMBL278,1
CHEMBL445303,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2C[C@@H](NC3CCC3)CN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.1,nM,10.0,CHEMBL999754,CHEMBL278,1
CHEMBL448863,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2C[C@@H](N3CCCCC3)CN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.09,nM,10.05,CHEMBL999754,CHEMBL278,1
CHEMBL505992,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2C[C@@H](N3CCCC3)CN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.1,nM,10.0,CHEMBL999754,CHEMBL278,1
CHEMBL444822,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2C[C@H](N3CCC3)CN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.2,nM,9.7,CHEMBL999754,CHEMBL278,1
CHEMBL502641,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2C[C@@H](N3CCC3)CN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.08,nM,10.1,CHEMBL999754,CHEMBL278,1
CHEMBL507665,N[C@@H]1C[C@@H](C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)N(S(=O)(=O)c2cc(Cl)cc(Cl)c2)C1,IC50,=,0.09,nM,10.05,CHEMBL999754,CHEMBL278,1
CHEMBL296804,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cncc1Cl,IC50,=,0.07,nM,10.15,CHEMBL999754,CHEMBL278,1
CHEMBL601467,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3cccn3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.22,nM,9.66,CHEMBL1074813,CHEMBL278,1
CHEMBL601468,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3ccnc3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.81,nM,9.09,CHEMBL1074813,CHEMBL278,1
CHEMBL601469,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3cncn3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.55,nM,9.26,CHEMBL1074813,CHEMBL278,1
CHEMBL601470,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3ncnn3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.08,nM,10.1,CHEMBL1074813,CHEMBL278,1
CHEMBL589748,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3ncc4ccccc43)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.25,nM,9.6,CHEMBL1074813,CHEMBL278,1
CHEMBL601682,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3ncc4c3CCCC4)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.35,nM,9.46,CHEMBL1074813,CHEMBL278,1
CHEMBL601683,N#Cc1cccc(S(=O)(=O)N2C[C@H](n3cnc4ccccc43)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.08,nM,10.1,CHEMBL1074813,CHEMBL278,1
CHEMBL569403,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.34,nM,9.47,CHEMBL1074813,CHEMBL278,1
CHEMBL569255,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.16,nM,9.8,CHEMBL1074813,CHEMBL278,1
CHEMBL569263,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCCCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.11,nM,9.96,CHEMBL1074813,CHEMBL278,1
CHEMBL601684,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCCCCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.42,nM,9.38,CHEMBL1074813,CHEMBL278,1
CHEMBL601685,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCCCCCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.25,nM,9.6,CHEMBL1074813,CHEMBL278,1
CHEMBL589749,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCOCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.13,nM,9.89,CHEMBL1074813,CHEMBL278,1
CHEMBL601686,N#Cc1cccc(S(=O)(=O)N2C[C@H](N3CCSCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1,IC50,=,0.13,nM,9.89,CHEMBL1074813,CHEMBL278,1
CHEMBL601687,CC1CCCCN1C1CC(C(=O)NC(Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)N(S(=O)(=O)c2cccc(C#N)c2)C1,IC50,=,0.11,nM,9.96,CHEMBL1074813,CHEMBL278,16
