Compound_ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,n_isomers
CHEMBL278199,N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,0.5,nM,9.3,CHEMBL820787,CHEMBL278,1
CHEMBL17240,CC1(C)CCNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC1=O,IC50,=,112.0,nM,6.95,CHEMBL820787,CHEMBL278,1
CHEMBL276353,CCC1(CC)CCNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC1=O,IC50,=,3.9,nM,8.41,CHEMBL820787,CHEMBL278,1
CHEMBL274280,N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCCNC1=O,IC50,=,19.0,nM,7.72,CHEMBL820787,CHEMBL278,1
CHEMBL16742,N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CNC1=O,IC50,=,5.0,nM,8.3,CHEMBL820787,CHEMBL278,1
CHEMBL16475,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CSSC[C@H](C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC1=O,IC50,=,1.8,nM,8.74,CHEMBL820787,CHEMBL278,1
CHEMBL16710,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,0.7,nM,9.15,CHEMBL820787,CHEMBL278,1
CHEMBL16888,N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,750.0,nM,6.12,CHEMBL820788,CHEMBL278,2
CHEMBL16695,N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,44.0,nM,7.36,CHEMBL820788,CHEMBL278,2
CHEMBL278476,N[C@@H](Cc1ccc(O)cc1)C(=O)N/C1=C/CCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,160.0,nM,6.8,CHEMBL820788,CHEMBL278,1
CHEMBL16385,N[C@@H](Cc1ccc(O)cc1)C(=O)N/C1=C/CCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,IC50,=,330.0,nM,6.48,CHEMBL820788,CHEMBL278,1
CHEMBL389844,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C,IC50,=,1.2,nM,8.92,CHEMBL903783,CHEMBL278,1
CHEMBL228576,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C(C)C,IC50,=,769.0,nM,6.11,CHEMBL903783,CHEMBL278,1
CHEMBL223465,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C(F)(F)F,IC50,=,106.0,nM,6.97,CHEMBL903783,CHEMBL278,1
CHEMBL228575,COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC,IC50,=,9.2,nM,8.04,CHEMBL903783,CHEMBL278,1
